StoreID,StoreName,Label
b8ic,一生懸命 (彰化和美店),美味
b8jw,九千久拉麵,環境
b8ki,STARBUCKS 星巴克 (光復清大門市),環境
b8sz,好運印度餐廳,環境
b8ut,大大平價鐵板燒,服務
b8zl,打貓冰果室,環境
b98o,石一籠 (嘉義光華店),美味
b9dy,老漾,環境
b9gw,許家炸雞腿便當專賣店,美味
b9sv,HOVII Cafe,環境
ba0x,二嫂麵館 (寶雅對面),美味
bab8,好蝦多,美味
baor,車店手工現煮水餃,美味
bb3s,雅舍早午餐,環境
bb64,水餃峯,美味
bbvj,妞妞粥品 (彰化伸港店),美味
bc1g,CHILL DAY鶖茶,服務
bcuw,董事長炸G,環境
bcz1,溪湖饗樂鐵板燒,服務
bd0r,候咖啡,環境
bdbv,NENE CHICKEN (嘉義店),服務
bdyr,大柯車輪餅 (彰化和美店),美味
beq4,波力芙健康餐盒,服務
bfeb,心品茶,美味
bfhg,早安美芝城 (彰化中華概念店),環境
bgaw,豆豆小籠湯包店,環境
bgqb,Mister Donut (嘉義大潤發店),環境
bgyr,咕嚕先生咖喱販賣所,環境
bh57,麗卿陽春麵,服務
bj7u,軍茶 (彰化溪州店),美味
bjbd,午春咖啡雞蛋糕,美味
bk0r,養鍋 (彰化員林大同店),服務
bkae,美國炸雞王,服務
bkf1,八曜和茶 (彰化員林店),服務
bld1,脆嫩雞排,服務
blju,616早餐,服務
blnw,裸色茶啡,環境
blqu,桃城烹茶-古早紅茶,服務
blxd,阿榮師啤酒鴨 (嘉義中正店),環境
bm4y,偶芋手作茶飲、冰品,美味
bmgy,上津豬排飯 (新竹新莊店),美味
bos8,韓今館韓式料理,環境
bpst,白巷子 (中埔後庄店),服務
bqkb,小丸豆製所,美味
br0i,半雞八兩 (員林店),服務
bra0,民國塩酥雞,美味
brhs,紅吱吱 (新竹光復店),環境
bsll,家禾火雞肉飯,服務
bsoa,家玲妹便當(嘉義林森店),服務
bsx3,丰晟小籠包,服務
bsyk,巧味手工鮮肉湯包,美味
bt2x,路邊亭日本料理,環境
btod,三寶麵線 (新竹大庄店),服務
btxg,大彰化永和四海豆漿,美味
bu46,酸奶大獅(嘉義中正店),服務
bu48,Cookie&Tea 熹梯餅乾茶專門店,美味
bugv,Shh！店店,環境
buwh,開心豆花店,環境
bv69,侯老師東石蚵仔煎,美味
bwjt,小米叔喜 (彰化埤頭店),美味
bwtp,三商巧福 (4382和美店),環境
bxc5,三億小吃店,美味
bxev,夏帕義大利麵 (彰化員林店),環境
bz1o,潘番薯地瓜球,服務
c047,STARBUCKS 星巴克 (嘉義市府門市),環境
c0c9,一切好拌,服務
c1j4,鄉味雞肉飯,美味
c20q,五桐號 WooTEA (彰化二林店),服務
c214,粥公麵婆 (彰化彰南店),環境
c22e,阿廷當歸鴨,美味
c25c,澎湖鮮味亭,環境
c2bw,仁愛麵店,美味
c3hh,微笑71,美味
c4ib,烤當家碳烤,美味
c4kx,胖加麵包(彰化自強店),環境
c4ms,觀世音素食,美味
c4nf,NU PASTA (家樂福嘉義店),環境
c4zl,口福素食 (彰化社頭店),環境
c5bh,瑪露連 (新竹武昌店),服務
c5nn,一豆狀圓 (鹿港復興店),美味
c5w1,炳叔烤玉米 (新竹城隍店),美味
c6nt,花壇林記排骨飯,環境
c6sj,深海土魠魚羹 (西大總店),美味
c6ug,瑞龍鹽酥雞,服務
c72h,財記筒仔米糕,美味
c7ce,米兔炸雞,美味
c7dz,逗陣呷早,美味
c7jz,漢堡大師 (二林建國店),美味
c7ph,七悅雨,服務
c7qb,香豪肉粽,美味
c985,義食．Eat,美味
c9ju,登豐美食-食餓食堂,美味
c9m0,成家肉粽大王,美味
c9ph,小心雞鹽水雞,美味
c9pu,鑫食堂關東煮,服務
c9w5,崇文錦魯麵,服務
cay7,建良鵝肉,環境
cb42,花林煮藝美食坊,環境
cc72,至尊脆皮臭豆腐,美味
ccai,崇實早午餐,環境
ccdi,代表娘大腸麵線,美味
ccdq,南京烤鴨,美味
